0,0,0-0.48302746,-0.0684149,0.04963134,5
2.111666,-10.418948,-0.8033902,0.062764555,-0.06306998,0.01175881,5
2.0632114,-10.515558,-0.6089734,0.062764555,-0.06306998,0.01175881,5
2.0632114,-10.515558,-0.6089734,0.062764555,-0.02015796,0.0027488125,5
2.0632114,-10.515558,-0.6089734,0.078646585,-0.07666133,0.023059484,5
2.105684,-10.5125675,-0.46869412,0.078646585,-0.07666133,0.023059484,5
2.105684,-10.5125675,-0.46869412,0.04214846,-0.0413849,0.0076355906,5
2.115255,-10.497612,-0.37238303,0.04214846,-0.0413849,0.0076355906,5
2.0081763,-10.500603,-0.29012975,0.04214846,-0.0413849,0.0076355906,5
2.0081763,-10.500603,-0.29012975,0.013896775,-0.004275931,-0.0051922016,5
2.0081763,-10.500603,-0.29012975,0.014049487,0.035276428,0.02107423,5
2.0321047,-10.50479,-0.3080759,0.014049487,0.035276428,0.02107423,5
2.0321047,-10.50479,-0.3080759,0.0012216945,0.047493376,0.014354911,5
